121112 15:19:02.992,找到应用程序环境服务项2个。,Didaku.Engine.Timeaxis.Kernel.EnvironmentInitializer,Info
121112 15:19:02.992,检查配置:ApplicationOption.codersetting,Didaku.Engine.Timeaxis.Kernel.Initializes.OptionInitialize,Debug
121112 15:19:02.992,配置文件正常:ApplicationOption.codersetting,Didaku.Engine.Timeaxis.Kernel.Initializes.OptionInitialize,Debug
121112 15:19:02.992,"启动""项目选项初始化。""服务完成。-- 0",Didaku.Engine.Timeaxis.Kernel.EnvironmentInitializer,Info
121112 15:19:03.042,"启动""启动数据持久化层服务。""服务完成。-- 1",Didaku.Engine.Timeaxis.Kernel.EnvironmentInitializer,Info
121112 15:19:03.042,应用程序环境的初始化完成。,Didaku.Engine.Timeaxis.Kernel.EnvironmentInitializer,Info
time,message,logger,level
121112 15:59:49.907,找到应用程序环境服务项2个。,Didaku.Engine.Timeaxis.Kernel.EnvironmentInitializer,Info
121112 15:59:49.907,检查配置:ApplicationOption.codersetting,Didaku.Engine.Timeaxis.Kernel.Initializes.OptionInitialize,Debug
121112 15:59:49.907,配置文件正常:ApplicationOption.codersetting,Didaku.Engine.Timeaxis.Kernel.Initializes.OptionInitialize,Debug
121112 15:59:49.907,"启动""项目选项初始化。""服务完成。-- 0",Didaku.Engine.Timeaxis.Kernel.EnvironmentInitializer,Info
121112 15:59:50.005,Ninject共载入1个Module。,Didaku.Engine.Timeaxis.Kernel.IoC.Core,Info
121112 15:59:50.005,Ninject已载入:SingletonModule,Didaku.Engine.Timeaxis.Kernel.IoC.Core,Info
121112 15:59:50.086,"启动""启动数据持久化层服务。""服务完成。-- 1",Didaku.Engine.Timeaxis.Kernel.EnvironmentInitializer,Info
121112 15:59:50.086,应用程序环境的初始化完成。,Didaku.Engine.Timeaxis.Kernel.EnvironmentInitializer,Info
121112 16:02:42.057,找到应用程序环境服务项2个。,Didaku.Engine.Timeaxis.Kernel.EnvironmentInitializer,Info
121112 16:02:42.057,检查配置:ApplicationOption.codersetting,Didaku.Engine.Timeaxis.Kernel.Initializes.OptionInitialize,Debug
121112 16:02:42.057,配置文件正常:ApplicationOption.codersetting,Didaku.Engine.Timeaxis.Kernel.Initializes.OptionInitialize,Debug
121112 16:02:42.057,"启动""项目选项初始化。""服务完成。-- 0",Didaku.Engine.Timeaxis.Kernel.EnvironmentInitializer,Info
